,reviews
5642,is good.
5643,good
5644,excelente
5645,Excellent product if it meets the description of the product.
5646,Great Price!!!  Bought it for my granddaughter and she loved it!
5647,I got this phone a few weeks ago and I love it.  I would recommend anyone to buy it
5648,Excellent Service and product. Highly recommended.
5649,The phone had a factory defect at no fault of theirs. They willing to help and great to work with!!
5650,was new and sealed in the box with all in side packaged by apple phone was great was a 4s 32 and unlocked by apple. I am now using metro pcs now :-)
5651,Excellent
5652,It was gift and my cousin love it.... Thank you.... will do business again.
5653,Bought it for my daughters Christmas present I cant tell anything about an IPhone
5654,"the phone worked only one month and the problem is that it was at a premium of Venezuela a gift, it was a total fiasco and i do not know if it is warranted because the period amazon and return step, a waste of money"
5655,i loved thank you the phone look great
5656,Very good item...Thanks
5657,excelent
5658,It don't work for T-Mobile i went to the store and they said it was with Verizon and sprint so if you have those your good but when I got the phone is was in great condition
5659,"Big cheater. Item described as new sealed in box , iPhone 4s . Received the item. It's used even the box not the original and those accessories are old."
5660,i  like it
5661,The seller lied，and the iphone is not new， it is used and does not work at all.  The battery isbroken，the power went out  in ten minutes，charging is very difficult。so I am very angry. Don't buy this one.
5662,This phone was supposed to be unlicked and was not. It was in good shape though!
5663,excellent
5664,"If you are the type of person that always wants to have the newest gadget: stop reading here.
For all the others that want to have a great phone at a great price: the iPhone 4S is your first choice. It offers a lot more than the 4 and not a lot less than the 5. Believe me: this is a great deal."
5665,"im sorry but my IPhone 4S 32 GB is not working perfectly, the battery does not charge, i would like to know about guarantee, what can i do??"
5666,Screen was cracked! Charger plug didn’t work!
5667,"Arrived on time. The charger on the other hand didn't work.. no biggie though, the phone does and chargers are cheap:)"
5668,Very good
5669,"Nice iPhone in original box, prompt delivery, A++++++"
5670,GREAT GJ
5671,"I ordered 2 of these phones.
Pro: They arrived as described: factory unlocked. Shipping was quick
Con: Charger and headphones do not appear to be Apple products."
5672,Its very fast and looks good At the beggining but now runs hot and the back cover is not original
5673,The guy cheat to me because he sent me locked phone without headphone but I ordered locked phone. I am kind of dissapointed
5674,what a buy!
5675,Good!
5676,This is very bad. I ordered a 32 gb factory unlocked iphone I got a 16 GB with bad wifi and not really god battery.
5677,Took too long for delivery. Very happy with my phone.
5678,"My flash does not work. I receive only the cable, without battery.
I don't have the legal document to requist the consert, so now what can i do?"
5679,I had no problems getting it hooked up with my carrier and have not had any issues come up with the phone. I have had it for several months with no problems
5680,"the product was bad. You were offered unlocked,but it was locked, i got to pay 80 more to unblock it, today the phone is damaged,"
5681,Great iPhone for the price
5682,Said it was unlock.. It was locked with AT&T. So I have Verizon and my gf has AT&T.. But the phone looks new and works perfectly.
5683,thought I posted the review before. but I love it.
5684,excellent product in good condition and the delivery was as expected immediate
5685,Worst experience with this phone. its not a new phone and hs serious battery problem and also the speaker is also not working
5686,It was in great shape but i didn't want a international phone without facetime and it wouldn't take my card for a u.s.a. t-mobile.
5687,has problems with wifi
5688,"A slight problem with charger, when my phone connected with charger a little bit shocking I got,  please solve my problem"
5689,"The iphone came in the original wrap but after contacting Apple because of some problems, I discovered the phone had previous owner."
5690,I love the look of the white!
5691,Excelente!
5692,"Iphone usado no nuevo.
No recomiendo la tienda.
Soy de Venezuela."
5693,"The phone is in Very good conditions, thank you!"
5694,Terrible battery life
5695,"thanks... excellent...
love my iphone 4s used."
5696,Work very good and I connect whit any company
5697,because it is a iphone
5698,"Seler sent a broken, two years used product. Still no answering for more that one week now."
5699,It shipped faster than what was confirmed with me and the product was exactly what I wanted.
5700,goodnight you have black iphone accessories ?
5701,phone worked out great took 10 minutes to start up.
5702,"its not new ,it cant work with cdma2000."
5703,Excellent buy! It was exactly what I wanted and.my fiancee loves her new iPhone.
5704,"Perfect delivery, and match as per my requierement, and perfect packaging. And Good quality and looks very nice plastic color. Fast connection"
5705,"Really good buy... It does show a lil use on the sides n a few minor nicks, a bumper can easily cover up screen n back are in perfect condition the fone really is unlocked n for half the price it normally goes for i would highly recommend them.. And I got the phone before the estimated delivery day very pleased with my new iPhone"
5706,"ok, good jod"
5707,I received it with out Sim card. There is no Sim card.
5708,It's very good
5709,very good!!!!!+++++++++
5710,"It's Apple, you know... :)"
5711,"this is very different, we paid for a factory unlocked iPhone, and you sent one of AT&T that is not honest. I pay less for a locked phone, thanks."
5712,My cell phone carrier said an unlocked phone like this one would not be able to text outside the wi-fi network??? I went to 2 other shop and they also were warning me of issues i would have. finally I emailed mobilespree. I got a reply the same evening with the procedure to make it work easily. It solved my issues. I love my Iphone 4S. Works perfectly.
5713,brand new no problem
5714,"When we bought the phone it turend out to be locked which made it difficult to use the phone on another SIM card, but the seller was kind enough to follow up with at&t and have it unlocked in a short time . The iphone arrived in mint condition with an utter box cover. It was a good buy after all."
5715,EXECELLENT ALL THE WAY....
5716,Was not like they said it was not unlocked
5717,Pour battery life time!!! it does not stand even one hour!!!!!
5718,They didnt work at all dont buy from them no more
5719,This unlocked iphone works great i like it so much
5720,Great product! Seller 10 points
5721,Excellent seller 100% im happy
5722,"Great phone ,unlocked and brand new, I love it!"
5723,Looks and works good
5724,There was a problem and I sent it back.
5725,"As with any Apple products I have purchased in the past, the iPhone 4s is slick and intuitive.  It is easy to use and does all that I need a smartphone to do and more.  I love my iphone."
5726,Awesome phone works great
5727,it's a good buy.
5728,i love it
5729,Good!!
5730,Fulfilled my expectatio s
5731,Thanks
5732,"I got the iPhone and its not working, it has hardware issues.  Apple suggested I return it to seller and get my money back."
5733,Excelent
5734,Great
5735,"From all the complains I seen on here after I bought the phone should have told me to return the phone> I have been spending two weeks trying to get the phone to work overseas an now it is to late to return..my suggestion pick another phone , the I phone 4 is not worth the trouble or gamble to see if your going to get 1 that works or not.."
5736,"excellent product, exactly as it offered and very attentive and outstanding salesman my agreement"
5737,"They promise to give me a phone almost new just to find out when I went to use it, that the phone volume didn't work"
5738,"Iphone4s,rapid charger blackberry,Nikon D5200,So far are excellent,except for the case cover for samsung galaxy duos was not to my expectation.I thought it was a leather.But it's ok!"
5739,"Phone was like the description ... like new no marks

Working perfectly , with all the functions . Only need to put my carrier simcard ."
5740,"I had an upgrade to 64 GB and It's working good, I recieved it on time and no issues at all so far"
5741,"arrived on time, brand new, unlocked and works perfect with the sim card we had, [so far] would have liked the warranty info."
5742,The cellphone is perfect!!! Im so happy!!! I have nothing to complain!! =D you can buy to this guys without problems!
5743,The phone met my standards as to what I needed and I like it very much. I would reccomendation this phone to others.
5744,"I'm very upset, the battery is not working properly. When it is charged, only last a couple of hours and when it shows 50% it turned off"
5745,I am quite satisfied with this purchase. It is OK. Rate price/product is good and really it was as new.
5746,Ear phone is not work
5747,My cellphone Is working nicesly and it esa really unlock factor y
5748,Iphone 4s 32gb not good. Unhappy!!!
5749,"I was a little worried about ordering an iphone online, and that was used. But I was pleasantly surprised. If I didn't know it was used, I would never have guessed it. This phone was in perfect condition, and I am so happy with it! Highly recommended!"
5750,"Perfect condition, very reliable, great phone just 100%"
5751,"It was great phone, and I m reviewing it after years"
5752,Very good on line shopping
5753,My first iphone happy this
5754,Good product
5755,"I got a defective piece..
And no support in getting it rectified..
I sold the phone for very very less..
Lesson learnt"
5756,Excellent product
5757,Awesome product by Snapdeal
5758,"i m very happy to service in each & every . and i highly appreciate .   
thanks to snapdl  team ."
5759,Awesome product value for money
5760,Less radiation
5761,Working really great no issues
5762,awesome product still working well
5763,Nice one I have purchased to gift my hubby was very happy to see...
5764,Quite prompt and reliable schedule given at the time of order placed. And product delivered on the committed date
5765,Its more than 2 years now and its still working fine today buying this is worth of money.
5766,It was an imported product without warranty in india
5767,Good product. No anomily
5768,Buy latest 1
5769,It was really cool experience
5770,Iphone 4s is a good phone
5771,Nice i phone
5772,Very nice items
5773,Good quality product..
5774,Mobile stopped charging in a very short span of time..
5775,i want my product invoice
5776,Very good service and delivery on time..looking forward same service from snapdeal....
5777,As per my budget am enjoying Apple.....
5778,👍🏻👍🏻nice
5779,"I love apple product, this is my first phone. Its working since 1 year. i am happy with its performance. Best delivery by Snapdeal."
5780,Perfect Delivery !
5781,Awesome cell in this price range
5782,if u are thinking to buy this product then don't get a second thought. You won't regret your decision.
5783,Nice good product
5784,Phone was damaged. It does not SWITCHED ON a single time and no respnse after connected the charger. I am very disappointed with this purchase. Plz pick up this product and refund my money.
5785,Buy only the higher memory variants else its not useful... slower compared to today's cheaper android technology.camera is overhyped... Go for the latest apple models ...42 is becoming obsolete
5786,nice phone
5787,The item reached to me in time.
5788,"disappointed by snapdeal service. Even though received genuine mobile phone , bill received was wrong or with incorrect details. My mobile is facing login issue for which Apple wants bill, i provided the bill ,which was received from snapdeal. Now Apple is saying provided bill details are not matching with phone.

My mobile is now dead & neither Apple nor Snapdeal solving the problem."
5789,"No hang 
Super speed 
Super camera 
Every thing is perfect
Waiting for iphone 5SE"
5790,I found this product at the cheapest price on snapdeal after resurch on various other sites
5791,Good deal with snap deal
5792,awsome stuff ha ha ha
5793,IM USING IT FROM LAST ONE YEAR PHONE IS WORKING FINE ONE THIN I HAVE NOTICED THAT THE HOME BUTTON HAS GONE LITTLE DOWN
5794,Five stars because i got this phone in as low price as possible
5795,good to use
5796,Got the phone a bit late as expected but absolutely original no doubt and at a reasonable rate.....8gb is tooo less and that to you get only around 5gb to use not sufficient.
5797,very good product
5798,very nice &easy to handling
5799,Thanks snapdeal to give me a very nice product. This is my dream hand set . am very happy with snapdeal's service. Thanks to all staff of snapdeal.
5800,"Using  from 6 months, no issue yet. Battery life last only one day, rest all the things are great."
5801,"very much satisfied with the deal. have been using for more than 5 months now, no regret. And also happy with the service of Snapdeal. thank you Snapdeal!"
5802,"Pretty outdated, but still a good phone to have. No objection about Snapdeal delivery."
5803,Thank you snap deal for awasom smart phone I loved it. It's very handy phone
5804,"Really i liked 

Ozum"
5805,Awesome phone snap deal rocks 👍🏻fast delivery
5806,Su Su Su superb
5807,it is very good and best mobile and it is very beautifull but one problem the bateery backup is not good
5808,GOOD PRODUCT
5809,good condition
5810,"Nice received in 3 days................
Great Service................
Genuine iphone......................"
5811,THIS PRODUCT IS AVERAGE
5812,good phone
5813,so far so good as I used for seven days..
5814,Its hang just 4 hours i buy it.otherwise its suprrb
5815,Recieved in good condition
5816,great phone
5817,Good one but pries is at higher level.
5818,Good phone at this price of 13.5k
5819,This is my 4th product purchasing through snapdeal. Trust me its always been a good experience in here right from the best price till the delivery Everything is jus near to perfect . Shop in snapdeal with satisfaction
5820,"Value for money phone. Superior Hardware and good investment for this price.
Someone said,"" If you don't have the iphone, you don't have the iphone"". yes its absolutely true."
5821,"Good service,delivery came in time, and we can never complain about iphone"
5822,"Experts Quality...
              100 Percent Original..."
5823,I want to exchange my tab with I phone 4s so pls reply if it is valid
5824,Good and perfect..delivery in time....product is really good...
5825,"first iphone.
quick delivery.
great black color"
5826,This phone is still the best design by Apple. I am biased towards medium screen size and durable body and this model fits in both requirements. Snapdeal did have a good network of sellers and hence you can find this phone at competitive price.
5827,"this is best product with best camera and battery backup, go for it........."
5828,"I phone 4s was delivered on time... Just a small observation,I couldn't find I cloud logo anywhere. Only Apple logo was there on both sides of the box."
5829,very nice..speed delivery..100% satisfied..thank you very much..I am happy with the device and I think it is a great smartphone
5830,Apple 4s very good phone easy to use user friendly browsing speed is good battery life good speaker volume very clear
5831,Thanks to snapdeal delivered before delivery date... And great phone and also genuine and great experience by using the phone
5832,First i tell that the product is cheaper than any other sites ........ and even the back cover was good
5833,"Still rocks ....even though this is old model but its Apple ..they make the products that really last and best thing is iOS is compatible and thanks to Apple for taking care of their own old models. it runs smooth on iPhone 4S...iOS9 ..loving it. 

Thanks for prompt delivery and nicely packed in the double boxes for protection during the transit."
5834,Great experience with this product on snapdeal portal. It was my first iphone and i was also very excited to own it.
5835,"i am very happy with your service ,,but you need put pin inside the box otherwise very good"
5836,Avsm phn good quality nd spcl thanks for snapdeal this is best deal i m happy this product
5837,iPhone ka nam kam  price m and amazing speed
5838,Good product and service is also very good.
5839,You have to use it to know the differences.
5840,"First of all Thanks to snap deal for their delivered even before the date mentioned on the site.. It made me happy.

best phone i have ever used... Everything about it is awesome.. Awesome camera ... Front camera is also good.. For me 8gb is not enough but i can manage... I must say if you are bored with android or windows try ios its awesome.. And best price is here (snap deal)..go for it guys... You will not regret after buying this.... :)

Thank you.."
5841,Got in good price.... and fast delivery with safe...
5842,Very good phone I get through ur best service which creates my best impression
5843,An excellent product and also very good service.
5844,i phone 4s 8 GB Black pic quality is clear and good and its touch is fine...i m happy to have it and buy it online in cheapest prize
5845,"The iPhone is full of features there is nothing required when u have an iPhone 
This is given by considering all your requirements."
5846,I always wanted to have a Iphone . N itz juz awesome. D dlvry waz a bit late. Bt perfct phone..
5847,Great Handset and also cool service from Snapdeal.............Apple is  Apple only
5848,I have always been a iPhone user and this is my second purchase of iphone through Snapdeal. Product is awesome and i am very satisfied with the phone.
5849,"Nice mobile, and i got original apple iphone from snapdeal. Good camera quality sounds too. amazing mobile to use. thanks to SNAPDEAL..."
5850,gud lookn mob... but heatng .. btry 6hrs .. no hang .. aa perfct mob for smal phn liker
5851,Its nothing to say about it guys.....amazing
5852,Very happy to get my iPhone at such reasonable price..nice features..
5853,apple I phone was my dream phone and my dream come true by purchasing one Apple I phone 4S and that too in a lowest price from the market price..Thank you snapdeal.com for making my dream come come true. the phone is perfect for me.sound quality excellant. I can talk soothingly and hear clearly in a crowded place.its awesome...
5854,Performance as per the price.Value for money.
5855,iPhone 4S 8 GB Black  is nice mobile very
5856,Product is sealed and genuine. Working perfectly..
5857,"Using this phone from quite a long time ....
pros..
1. Brilliant camera excellent colours reproduction natural colours 
2. Awesome Retina display everything looks very sharp and great outdoor too..
3. Smooth user interface and looks so sober and premium 
4. Very good for listening to music 
pros...

1. heats up very fast 
2. battery is average 
3. synchronization is a bit tricky...

but go for it if you want an iPhone"
5858,"Excellent picture quality 
Consists FaceTime and other features also 
I enjoy playing games on this phone
Was cheaper than the market cost
Hope so other buyers would like it also"
5859,"I am using this and I really like it. Though I find it smaller than my other phones however,I accidentally dropped it not just once or twice but it's still working... but not good with the battery life"
5860,Great product . I am truly satisfied with the product . Thanks a lot snap deal for wonderful product .
5861,Phone is good and delivery was perfect with less time .... good....
5862,awesome Phone ever ....................................................................................................................................
5863,"Amazing it is so cool 
M really happy with this product 
And also thanks to Snapdeal"
5864,Super doperrrrrrrrrrrrrrrrrrr service were were were were and iphoneeeeeeeeee
5865,Thanks for giving me this phone its soo cool and I miseried with this phone camera features are great comparing 16mp front named like vga but sounds like 5mp no hanging problem iphone users will not hate this phone and wont get replaced
5866,thnks snapdeal alwys happy from ur service good service than flipkart
5867,"5 5 5 5 5 5 5 5 5 5 5....i love it.

Best deal from Snapdeal... i m so happy with Snapdeal
thnx to Snapdeal fast service"
5868,I am cery happy to purchase of iPhone 4s. I will suggest to others friend for the same. Handset sound and picture quality is awesome.
5869,super happy. nice phone if you are required a phone who can do all tasks with ease  :)
5870,Good phone at this range camera quality is good only screen size is little small
5871,Fantastic phone.best deal.perfect delivery
5872,"awesome phone in this price range. item delivery time is too short than the other, thank u snapdeal team.."
5873,very best phone for users at low price thank you snapdeal
5874,got this product one month back and it was just amazin g and i taught it would be like an old one but it is an new iphone wich was manfactured on 2015 feeling ossm holding that [product on my hand
5875,"The product was delivered when I was not in my apartment, so i asked the delivery boy to hand it over to my neighbor. When i got back to my home I was in a suspense,  i video recorded while i opened the box to avoid any bick incident. But everything was just fine.. It was an pretty black iphone. I am delighted by the service snapdeal offered"
5876,I must say deal offer was really great compare to any other portal. And snapdeal delivery was really punctual on time. Product I received has very nice packing and no flaws.
5877,nice one product that i never had i am really too happy
5878,The product was perfect..no problems in operating it. No default no issues and the delivery was also very quick within 24 hours and the product was nicely packed plus everything was more than the expectation of buying online. So go for it on snap deal without any hesitation.
5879,Superb Phone Very Easy to Operate & Apple Is Apple. So One Can Beat the Product & Snapdeal Service Was Safe.
5880,its very good .the clarity is good easy to use and light in weight
5881,awesome phone in the price range...loved it
5882,i got the phone with in 3 daYS AND it comes with apple warranty..i love it.
5883,this prouct is perfect dil ki deal and at perfect price
5884,"Its a v.gud product i say to every1 snapdeal is a best site to buy electronics items mobile phones 
Lots of respect to snapdeal for alowng me to trust on them any selling so nice products i want to give 20 starts to snapdeal"
5885,"Very good mobile, Fast delivery, I have already recommended this product to my friends."
5886,Product was delivered as promised. Packaging was so nice and quality of the product was good and was a genuine. Loved the shopping experience with snapdeal.
5887,I love it. iphone 4s is best.i am happy with this.
5888,I got best ever offer from snapdeal shop.I feel very happy
5889,Well! I got the product as expected but very fast. It got delivered in 18 hrs so shocking!!!
5890,"Existing user of iPhone so it was good another , but when campared to other online site , got the best value"
5891,Got mobile on time and properly packed. Rate were lowest then competitors.
5892,"IPhone is top class no issues with delivery and parts.
All are original."
5893,I would like to buy an s6 with a 64 gigs of storage in the next season.
5894,"Those who are thinking for buying phone of any other operating system go on with Apple ios, I have used Windows, android too.
I found Apple ios the best. go  for it and u will be happy. The camera of iPhone is awesome."
5895,Nice phone  value  for money. I really  impress  with  courier service
5896,Very good product for this price. New piece.
5897,Deleviry time must be 2 to 3 days because its a good to best in trust of snapdeal app
5898,"this was my second purchase from u! i like ur packing and delivery,"
5899,Its good product.nice touch camera quality app n good battery use i happy to use iphone 4s
5900,They give the quick delevry. and also give good product. not a dimage ..
5901,I've rated full out of full bcz is snapdeal I love to buy product from snapdeal perfect and fast delivery branded product love it
5902,I loved it. It's ram only 512mb but it work superbly from androids really guy's it's look also best of others
5903,Perfect delivery time & product is original
5904,This is a best and smart to compared other brands my opinion is think smart use I phone
5905,phone is good but sometimes it getting hot automatically and when i  put the charger pin into the phone it starts heating
5906,"I was doubtful of purchasing iPhone online after reading reviews on flipkart but snapdeal reviews make me comfortable. So I purchased this and got genuine product within 2days through normal delivery. Packaging was good. No problem at all till now. 
Will recommend everyone ."
5907,I ordered this phone online during the electronic festival and the delivery at my doorstep was much early than the expected date given. I was not sure Abt the product but at such a low price I was keen to take a risk as it was going to be a gift for my dad who's not a tech savvy but would have definitely loved to have one good phone. This phone came nicely packed with proper accessories and the phone is in fantastic condition..Its working very well and my dad is so hooked on to it..he loved the phone and proud to have iPhone. Thank u snapdeal.
5908,"Really it's nice product ......it's good quality ...........everything nice 


And"
5909,"I phone 4s at best price, and genuine product verified at apple site"
5910,Thanks a lot snapdeal. It was a good experience shopping with you.
5911,It's my first iOS phone by Apple very good
5912,Brand is good but wen I put it charge iphone is getting heat. Battery is not good as well
5913,"Good phone.. Packing was perfect.. 100%genuine product.. Verified the serial number on apple website.. Overall 5 stars for the phone, seller and snapdea! Thank u"
5914,"Awesome phone in this price range
This is my first android device and I had a thrill in using this device. Good job in making this"
5915,I love snap deal. Dil ki deal. Super service fast service
5916,"product is good ..everything is working properly...but im sharing my online experience .
 same day i order two phone , one from snapdeal and other one from flipkart . i received from snapdeal within two days and from flipkart i did  received in 15 days. what a different ....thanks snapdeal for fast delivery ..."
5917,It will be good experience with snapdeal
5918,it is my choice and different becoz i want my money to right way nd becoz this is real phone
5919,it is a Future phone all application's are available. Technically it is a good phone.
5920,Nam hi kafi hai Apple ka. Nice product . I have 5 iPhone in my house and all are performing very well since last 3-4 years
5921,Real value for money and prompt delivery
5922,Nice phone. Shopping experiece on Snapdeal is great.
5923,Good and prompt service. Product received in good condition.
5924,"Undoubtedly it's an iPhone! Highly recommended any day. But space is a big constraint. Received only for those who can live with the following three:
1. Cloud storage
2. High speed unlimited data network.

For songs, you can buy subscription on gaana or hungama. 
It looks very pretty in your hand. Very nice brisk phone experience. Highly recommended."
5925,"Product is 100% genuine. so guys don't think so much - if you want go for it.
Only one problem is very low space. But you have to keep in mind the price range also

Thank you"
5926,"I am happy that I have decided to procure my iphone $S from snapdeal. Perfect packing, brand new piece, good performance, much cheaper as compared to market."
5927,Heating problem......... Battery charge is draining so fast....
5928,Excellent service awesome  phone and this price . i have already iphone  5s and 6 . now 4s gifted to my dad. Brand name is enough to tell everything.
5929,Excellent performance of the product i receive from snapdeal
5930,"Feel happy after buying this product, thats meet my expectations. i prefer snapdeal to purchase products. i got apple all over india warrenty also."
5931,Full 5 star product look & display touch is superlative.
5932,"I like it because the colour is nice and apple logo. Inspite of having only 512MB ram , this phone works very smoothly and fast . But the size of apps are too big for indian cutizens. Snapdeal deliver this phone in only 3 days after shipping. I recommend all the customer to purchase this cool phone ...."
5933,"Quickest delivery to date! Everything perfect....display, sound and camera are amazing... the only issue is the usable memory size...but that's not Snapdeal's mistake! I knew it was good...but holding 4S in you hand makes reality sweeter than dream."
5934,Very good delivery service very fast delivery with good condition
5935,It looks nice & easy to access. And it is pretty cool to carry in hand.
5936,"Product is good and Original, Request to Snapdeal team to focus on Courier side for up date and tracking"
5937,"this is my iPhone. The good things is that, this iphone work as similar to iPhone 6plus."
5938,Good and delivery is at time. Good seller product is seal packed.
5939,"This is my first Apple Phone and camera 8 MP is awesome...
luv it."
5940,Received the material ahead of committed time
5941,Good phone u can buy this product snapdeal is good
5942,awesome product... i love www.snapdeal.com....
5943,"Its an amazing phone for the budget i bought it for. And it works and never hangs. It is havin 512 mb RAM but works like 1gb RAM. Hands off to Apple. And should thank snapdeal that they delivered the product very soon, and they sold it for a good price too, I recommend this product if u r lookin to buy a android mobile at this price then plz u can go for this product"
5944,As expected it is a good value for money proposition. Build quality is top notch.
5945,Received nyce product after having discount. Very much happie..
5946,the finish and the make is superb. I just love it !!!
5947,Since last 8years lam yousing iPhones they are very good
5948,I m happy with the product and delivery was done before date.
5949,like it ...... even 512 MB ram it's good ....lovely touch feeling...
5950,I am Happy with the Seller n Service There Follow up n Messages Abt tracking everything is Good :)
5951,This was my first business with snapdeal and it was lighning fast in delivery
5952,Working good in 9.0.2....some little bugs in 9.0.2 but overall its of 2011 edition
5953,over all phone is good. but net is not as fast as samsung phones
5954,"I really satisfied with the snapdeal purchase. Importantly, fast delivery and good, genuine products, thanks to snapdeal."
5955,This is my first android device and I had a thrill in using this device. Good job in making this mas...
5956,Best quality and service provide by Snapdeal and seller...Thanks
5957,Its first i phone this camera was super so love u very very good
5958,apple is the perfect no any problem at that time i am using around 3 months
5959,Hm OK... I am happy & not bad... discount is very happy flip cover  screen card future of Aries better
5960,Nice product....................................................................
5961,IT IS GOOD ONE AND I AM HAPPY NOW WHILE USING THIS ONE
5962,"I was pleased with the delivery before ETA
Product marvels lovely.  I have recommended to some of my friends. Good work snap deal. Keep working I m with u to buy many products from now on."
5963,"I buy the I phone 4s in this ,, the product is good"
5964,BEST MOBILE IN THIS AMOUNT. BEST PERFORMANCE. I LOVE IT.
5965,"This is my second iphone before, I used iphone 4 before and now 4s, love the upfrade to iOS 9.1. But the mobile heats up when used while charging. Also during update of software.  If you are an iPhone fan and do not have enough money then this mobile is the perfect choice."
5966,Great phone and deal This is my first 4th apple device and I had a thrill in using this device.
5967,"I got this phone parfectly sealed pack and phone was brand new and genuine. I don't  need to tell anything about this phone cause apple name is enough but I am very happy with snap deal's service and seller. Thank you so much snap deal, well done, keep it up."
5968,Everything perfect..........l.............................
5969,":).........
Good product to buy.......
At such a low cost......."
5970,I m very much satisfied its very good and delivery is very fast and I will give a thumsup for every thing snapdeal is best
5971,"I just love the phone ,earlier I was user of android lg g2 ,I invested 34 k for it last year 2014,now I have purchased iPhone 4s Because I need a reliable compact phone in my hand so I chosen iphone 4s really enjoying the iOS exp.If you looking for a compact phone just go for it."
5972,the experience of handling the i phone was just awesome
5973,"i was dissapointed with your time of deleivery, but i'm quite satisfied with this phone as well as you, for sending this product."
5974,"the Price
the delivery
the support 
just outstanding"
5975,"Average good phone, not a simple phone but although it is good. Nice picture and video quality ."
5976,Cool product in a very good range. It is awesome
5977,Good product received. Good low budget phone with all latest featured
5978,"Its truely a nice phone and worth buying because grtting apple product at 13k is an extreme profitable offer. The phone is good, performs well and is smooth in function."
5979,It's hung twice. In a week . N that's bad
5980,product was perfect and the delivery was awesome.
5981,Great phone and great very fast service snap deal I recived phone in one day.
5982,Good I like the service.Am very happy with my new iPhone.
5983,value for money and a dirt cheap apple....... good work
5984,When i purchased it people said to me that it was not good but when i use it really i love it.its pic quality is too good.the best thing is the snapdeal really a committed place where we can shop.becoz when i purchase its 4s model it was defected .then i call Customer Care. he really supported me and asked me to refund or replace then i preferred replacement of this product.i couldn't believe it was replaced by its new one within 3 days.i love it.
5985,"Hi, Reason why I choose snapdeal to shop is,quality products,all top brands,less price,good offer and awesome customer service and snapdeal was my first online shopping web site I tried and I liked it very much after I got things . it's perfect on DIL KI DEAL"
5986,i am happy with the product and really thankful for delivering the product before time. Thanks!
5987,"Excellent service and on time delivery, very much satisfied."
5988,"The 'iPhone' I received from 'Snapdeal' was 100 % genuine with proper bill ... but 
'delivered wasn't good packing'. 

I have checked phone's serial no on 'apple India 

https://selfsolve.apple.com/agreementWarrantyDynamic.do website'

and it does show up as genuine with full one year warranty.

Premium Phone. Awesome apple. Awesome Snapdeal.

'Snapdeal' you are great."
5989,Got a brand new iphone 4s from snapdeal. Excellent delivery and best price. Thank you snapdeal
5990,I have purchased iphone 4s a week back. They took four days for transportation. I received ipone in good condition. Its performing well.
5991,"Iphone 4s is a great product. 
Works absolutely fine.
Go for it."
5992,"Its just a phone with good looking & the camera is superb but somewhere phone is not totally good, like it consumes more internet on every app, only single sim & we cannot expandable the memory of phone :-)"
5993,It is a too good mobile....I also like this product.  Bt its RAM is not enough. ..
5994,overall product and delivery very good ..............................
5995,Its an awesome experience. No doubt. Its wornderful. Its better than factory unlocked UK or US iphones. I defnitely recommend this.
5996,simply good still iam not facing any problems
5997,"IPhone 4s is awesome and
The service from snapdeal was more than expectations"
5998,The product and the buying experience from search to order and on to delivery was great and pleasing. I enjoy the shopping experience.
5999,"The best phone I ever had in my life.. I am loving it.
Snap deal delivery is very quick . 
Highly Recommend ⭐️⭐️⭐️⭐️⭐️"
6000,Whatever is anything but Apple is Apple the iPhone
6001,The product is simply awesome and good quality and the delivery of snapdeal is very good and very fast
6002,I am happy with purchase of my phone and the quicker delivery of product. But I am unhappy with not having catalogue or manual and not having warranty card. I want that immediately.
6003,"Old is gold!

It was launched long ago,still fees premium and up to date."
6004,"this product is very good.
and snapdeal return and refund policy is very good and fast.
i dont bileve it. 
Realy i good feel online shoping with snapdwal"
6005,It's a really nice product. But user manual was missing.
6006,Product is good and delivery is in time.Good response instantly
6007,Sellers supplied said product with good condition and fast delivery.
6008,"Don't believe on retailers, shopkeepers. You can purchase it from snapdeal anytime."
6009,I like your service fast delivery packing is very good
6010,"I got 3 4s in good condtions for my family 
Its working perfectly
And very good price"
6011,ordered n got good service n product was awesome... No hassles
6012,i like it ti is good we all use it and llike it i will say to my friends i will say good.  i lke it i t is good it is good
6013,"amazing phone.....although phone is 4 year old then too its amazing. Battery is not that much strong & bit off heat problem.and the camera quality is excellent...if you don't have an iPhone, well you don't have an iPhone"
6014,Fully satisfied with this product. I will recommend this product to my friend because he was searching this at cheaper rate.  And i find it here at very best price
6015,"Amazing prices and at cheap price 
This is a great deal with snapdeal.com 
Original products and delivery boy check before payment"
6016,User friendly very-nice I love this Mobil
6017,fast delivery. Awesome services. N like really cheap thna market price..!! Must buy from here..!!
6018,"great , phone arrived within 24 hours of order , genuine phone and great experience with snapdeal"
6019,its awesome deal i got no budy offering at this price
6020,"got it yesterday (21/09/15),not a very good product its average, heating badly while charging"
6021,This is my first experience with iPhone and I am really satisfied satisfied with the product. Snapdeal has delivered the genuine product and having fun with my first iPhone.
6022,Best deal you can for iPhone really very happy with the service and price offered
6023,it is very good deal and i got new ios up to date updated phone
6024,Smart phone with big features with brand name APPLE
6025,Excellent phone.... Still great ... Love this one
6026,"It is an amazing product....
It comes with IOS8.4.1
N battery life is also good approx 6 hours on net surfing....
Must buy...."
